epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3183.11,1.09417,0.95545,1.31515,0.57969,0.48322,0.53768,0.3676,1.18472,1.02665,1.35662,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3276.91,1.09926,0.95096,1.31898,0.5805,0.46839,0.53593,0.36294,1.1775,1.03706,1.36002,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3373.91,1.09325,0.93439,1.30499,0.6082,0.4665,0.5261,0.36499,1.15551,1.0241,1.3417,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3468.89,1.08464,0.91484,1.30285,0.61041,0.46713,0.53504,0.37174,1.15718,1.02241,1.34031,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3565.97,1.08627,0.91188,1.30376,0.61738,0.45755,0.53669,0.37271,1.14964,1.01403,1.33456,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3662.88,1.07432,0.90569,1.29456,0.60541,0.46856,0.52119,0.35798,1.1712,1.03567,1.35561,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3759.23,1.07104,0.89379,1.29526,0.58872,0.4909,0.54465,0.37699,1.15228,0.98043,1.34036,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3856.49,1.07713,0.87782,1.28806,0.60286,0.49847,0.55339,0.38201,1.14767,0.99833,1.34368,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3955.67,1.06758,0.87698,1.28606,0.60051,0.4981,0.53956,0.37091,1.16634,0.98726,1.34636,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4053.17,1.06646,0.86983,1.28717,0.60015,0.47835,0.5365,0.37269,1.15674,0.98848,1.34423,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4152.56,1.0578,0.86319,1.27924,0.60746,0.50014,0.55818,0.38486,1.15255,0.97393,1.33553,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4249.37,1.06781,0.85201,1.27403,0.60622,0.50049,0.5515,0.38406,1.13806,0.97172,1.32834,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4346.4,1.04481,0.8312,1.26582,0.59573,0.48885,0.54452,0.37765,1.16514,0.97544,1.35201,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4443.07,1.05178,0.833,1.27238,0.59447,0.50478,0.55674,0.38437,1.15115,0.94913,1.33383,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4539.36,1.04204,0.82563,1.26408,0.61986,0.4928,0.55483,0.38943,1.12909,0.95679,1.32883,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4640.46,1.04333,0.81196,1.26352,0.61493,0.49212,0.55315,0.38704,1.15052,0.95527,1.34045,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4737.35,1.03351,0.80289,1.25748,0.62008,0.4985,0.54971,0.38124,1.1442,0.97038,1.33989,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4831.3,inf,0.80205,1.26095,0.61179,0.50406,0.55901,0.38819,1.16085,0.95291,1.34043,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4928.75,1.021,0.78917,1.24839,0.6052,0.5068,0.55065,0.38282,1.16189,0.96249,1.34225,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5026.6,1.01615,0.77521,1.24471,0.58525,0.51485,0.55016,0.3815,1.1576,0.95733,1.33942,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5122.47,1.01761,0.77422,1.24684,0.6118,0.48548,0.54031,0.37628,1.15679,0.9754,1.34051,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5217.25,1.01003,0.77229,1.24151,0.60224,0.52047,0.56115,0.39039,1.15507,0.95242,1.33543,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5317.98,1.01218,0.76428,1.23994,0.60767,0.51705,0.55525,0.38492,1.15671,0.94567,1.33718,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5416.41,1.00013,0.74795,1.23272,0.62803,0.47926,0.55087,0.38142,1.15773,0.94349,1.34214,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5513.66,0.99073,0.74378,1.23506,0.62458,0.50893,0.55794,0.38694,1.15512,0.94429,1.34594,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5612.03,0.97959,0.73881,1.22482,0.60421,0.5085,0.55699,0.38478,1.16681,0.9471,1.34702,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5709.49,0.99124,0.73591,1.22525,0.64195,0.49652,0.56106,0.38877,1.1551,0.95249,1.34273,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5808,0.97876,0.7236,1.22241,0.61384,0.51582,0.55854,0.38736,1.15638,0.94981,1.34601,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5901.21,0.97613,0.72332,1.21717,0.62913,0.50372,0.55267,0.38394,1.16271,0.95018,1.34868,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5997.35,0.96572,0.71044,1.21372,0.61619,0.5121,0.55286,0.38264,1.15711,0.94868,1.34519,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6092.67,0.96031,0.7039,1.21005,0.62698,0.51212,0.5649,0.39159,1.15127,0.94106,1.338,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6188.72,0.95682,0.68736,1.20059,0.62413,0.52943,0.56526,0.39286,1.15804,0.93287,1.33694,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6286.46,0.97284,0.70214,1.21308,0.62765,0.51345,0.56121,0.39074,1.14915,0.93893,1.33888,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6382.8,0.97199,0.69329,1.20413,0.61216,0.51641,0.55761,0.38817,1.15575,0.93538,1.34299,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6479.73,0.95092,0.68499,1.19928,0.61797,0.52273,0.56323,0.39029,1.15735,0.93578,1.34804,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6576.82,0.93485,0.67558,1.19702,0.64768,0.50005,0.56474,0.38969,1.16114,0.93553,1.35459,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6674.22,0.94292,0.6757,1.19962,0.60783,0.53233,0.56339,0.3903,1.16661,0.93504,1.36046,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6771.81,0.93285,0.65763,1.18509,0.62085,0.5193,0.56166,0.38693,1.17328,0.93587,1.36019,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6868.85,0.92221,0.66068,1.19403,0.60625,0.53906,0.56404,0.38746,1.17712,0.93435,1.36288,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6964.83,0.92127,0.64685,1.18502,0.60325,0.53677,0.56524,0.39017,1.17656,0.93882,1.35892,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7062.11,0.91723,0.65022,1.18134,0.61021,0.51777,0.55719,0.38642,1.17312,0.93802,1.35748,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7158.32,0.90167,0.6348,1.17061,0.6087,0.51874,0.55511,0.38667,1.15935,0.93939,1.34926,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7254.42,0.92039,0.63795,1.17587,0.59902,0.52769,0.56308,0.39131,1.15621,0.93622,1.34357,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7350.32,0.91037,0.6212,1.16785,0.58215,0.55812,0.55945,0.38848,1.15986,0.94079,1.34802,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7448.63,0.90436,0.62448,1.17064,0.62403,0.51631,0.56148,0.3914,1.15357,0.9372,1.34867,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7546.31,0.90048,0.62053,1.16635,0.62049,0.52496,0.56257,0.3918,1.15632,0.9389,1.35327,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7646.12,0.90569,0.61547,1.16796,0.64962,0.50577,0.56555,0.39384,1.15774,0.93378,1.35407,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7744.49,0.89894,0.61513,1.16466,0.62949,0.5213,0.56398,0.39281,1.15816,0.93307,1.35446,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7841.23,0.88242,0.60383,1.16111,0.61589,0.52973,0.56034,0.38992,1.1615,0.9388,1.36221,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7937.91,0.88928,0.60017,1.15325,0.61444,0.53731,0.55797,0.38799,1.16029,0.94027,1.36224,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8031.19,0.87712,0.59244,1.15439,0.60696,0.53821,0.55508,0.38655,1.167,0.94747,1.36628,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8126.84,0.88892,0.59157,1.15112,0.61077,0.5268,0.55428,0.38525,1.16563,0.9419,1.36514,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8221.83,0.85875,0.5772,1.14463,0.60934,0.53252,0.55732,0.3865,1.16553,0.93966,1.36722,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8317.63,0.87256,0.58383,1.1478,0.60114,0.54482,0.55646,0.38752,1.16166,0.94272,1.36656,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8413.69,0.85796,0.57119,1.14245,0.62671,0.51609,0.56028,0.39053,1.1653,0.94241,1.37013,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8511.21,0.84565,0.56364,1.13328,0.64297,0.50189,0.55483,0.3869,1.1674,0.94631,1.37061,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8605.99,0.85862,0.56847,1.13848,0.6378,0.50629,0.55737,0.3907,1.1663,0.94356,1.3698,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8700.31,0.85572,0.56418,1.13589,0.60172,0.54181,0.55973,0.39232,1.16576,0.94404,1.36907,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8795.4,0.84517,0.55871,1.1323,0.63999,0.51044,0.55877,0.39083,1.17007,0.94102,1.37256,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,8892.22,0.80008,0.48926,1.10932,0.64027,0.51321,0.55596,0.38744,1.17414,0.94291,1.37712,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,8986.87,0.79498,0.47248,1.1021,0.63621,0.51229,0.55205,0.38474,1.17133,0.94628,1.3759,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9079.3,0.78624,0.46509,1.10403,0.62745,0.51547,0.55248,0.38495,1.17324,0.95258,1.38036,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9172.82,0.781,0.46296,1.09876,0.62995,0.50934,0.55038,0.38363,1.1764,0.95943,1.38447,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9267.76,0.7751,0.45111,1.09058,0.63003,0.51059,0.54969,0.38246,1.17664,0.95846,1.3858,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,9362.2,0.76371,0.44419,1.08075,0.62966,0.5087,0.54725,0.38093,1.17866,0.96269,1.38727,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,9457.64,0.76186,0.44464,1.08499,0.63459,0.50726,0.54732,0.38104,1.17887,0.96656,1.38789,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,9551.7,0.7541,0.4374,1.07928,0.6368,0.50824,0.54725,0.38018,1.18066,0.97082,1.39088,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
